id,referee,timezone,date,venue_id,venue_name,venue_city,season,round,home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,home_goals_extra_time,away_goals_extratime,home_goals_penalty,away_goals_penalty
864094,L. Santander,UTC,2022-07-02T22:00:00+00:00,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,2022,Apertura - 1,Necaxa,Toluca,False,True,1.0,3.0,1.0,2.0,1.0,3.0,,,,
864095,D. Quintero,UTC,2022-07-02T02:05:00+00:00,10546.0,Estadio de Mazatlán,Mazatlán,2022,Apertura - 1,Mazatlán,Puebla,False,True,2.0,4.0,0.0,2.0,2.0,4.0,,,,
864096,I. Lopez,UTC,2022-07-02T22:00:00+00:00,1076.0,Estadio AKRON,Zapopan,2022,Apertura - 1,Guadalajara Chivas,FC Juarez,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
864097,Ó. Mejía,UTC,2022-07-03T00:05:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 1,Tigres UANL,Cruz Azul,False,True,2.0,3.0,0.0,1.0,2.0,3.0,,,,
864098,F. Guerrero,UTC,2022-07-03T02:05:00+00:00,7182.0,Estadio Azteca,D.F.,2022,Apertura - 1,Club America,Atlas,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
864099,A. Escobedo,UTC,2022-07-03T17:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 1,U.N.A.M. - Pumas,Club Tijuana,,,1.0,1.0,0.0,1.0,1.0,1.0,,,,
864100,F. Hernández,UTC,2022-07-03T22:00:00+00:00,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 1,Atletico San Luis,Leon,False,True,1.0,2.0,0.0,1.0,1.0,2.0,,,,
864101,J. Pérez,UTC,2022-07-04T00:05:00+00:00,1085.0,Estadio Nuevo Corona,Torreón,2022,Apertura - 1,Santos Laguna,Monterrey,True,False,4.0,3.0,2.0,2.0,4.0,3.0,,,,
864102,C. Ramos,UTC,2022-07-05T02:00:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 1,Pachuca,Club Queretaro,True,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
864103,A. Escobedo,UTC,2022-07-09T00:00:00+00:00,10546.0,Estadio de Mazatlán,Mazatlán,2022,Apertura - 2,Mazatlán,Tigres UANL,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
864104,C. Ramos,UTC,2022-07-09T02:05:00+00:00,1082.0,Estadio Cuauhtémoc,Puebla,2022,Apertura - 2,Puebla,Santos Laguna,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
864105,Ó. Macías,UTC,2022-07-09T02:05:00+00:00,1088.0,Estadio Caliente,Tijuana,2022,Apertura - 2,Club Tijuana,FC Juarez,False,True,0.0,2.0,0.0,0.0,0.0,2.0,,,,
864106,Ó. Mejía,UTC,2022-07-10T00:05:00+00:00,1076.0,Estadio AKRON,Zapopan,2022,Apertura - 2,Guadalajara Chivas,Atletico San Luis,False,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
864107,V. Cáceres,UTC,2022-07-10T02:05:00+00:00,7182.0,Estadio Azteca,D.F.,2022,Apertura - 2,Cruz Azul,Pachuca,False,True,1.0,2.0,0.0,2.0,1.0,2.0,,,,
864108,M. Ortíz,UTC,2022-07-10T02:05:00+00:00,11905.0,Estadio BBVA,Guadalupe,2022,Apertura - 2,Monterrey,Club America,True,False,3.0,2.0,1.0,2.0,3.0,2.0,,,,
864109,F. Hernández,UTC,2022-07-10T17:00:00+00:00,1089.0,Estadio Nemesio Díez,Toluca de Lerdo,2022,Apertura - 2,Toluca,Atlas,True,False,3.0,2.0,3.0,1.0,3.0,2.0,,,,
864110,F. Guerrero,UTC,2022-07-10T22:00:00+00:00,1084.0,Estadio La Corregidora,Santiago de Querétaro,2022,Apertura - 2,Club Queretaro,Necaxa,False,True,1.0,2.0,1.0,1.0,1.0,2.0,,,,
864111,J. Lopez,UTC,2022-07-10T00:00:00+00:00,,Estadio León,León de los Aldamas,2022,Apertura - 2,Leon,U.N.A.M. - Pumas,,,3.0,3.0,0.0,2.0,3.0,3.0,,,,
864112,A. Escobedo,UTC,2022-07-14T02:00:00+00:00,7182.0,Estadio Azteca,D.F.,2022,Apertura - 3,Club America,Toluca,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
864113,E. Miranda,UTC,2022-07-16T00:00:00+00:00,1082.0,Estadio Cuauhtémoc,Puebla,2022,Apertura - 3,Puebla,Leon,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
864114,E. Galván,UTC,2022-07-16T02:05:00+00:00,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,2022,Apertura - 3,FC Juarez,Club Queretaro,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
864115,Ó. Macías,UTC,2022-07-16T22:00:00+00:00,1071.0,Estadio Jalisco,Guadalajara,2022,Apertura - 3,Atlas,Cruz Azul,True,False,3.0,2.0,1.0,1.0,3.0,2.0,,,,
864116,M. Ortíz,UTC,2022-07-17T00:05:00+00:00,1085.0,Estadio Nuevo Corona,Torreón,2022,Apertura - 3,Santos Laguna,Guadalajara Chivas,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
864117,D. Quintero,UTC,2022-07-17T17:00:00+00:00,1083.0,Estadio Olímpico de Universitario,D.F.,2022,Apertura - 3,U.N.A.M. - Pumas,Necaxa,True,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
864118,F. Guerrero,UTC,2022-07-17T22:00:00+00:00,1795.0,Estadio Alfonso Lastras Ramírez,San Luis Potosí,2022,Apertura - 3,Atletico San Luis,Monterrey,False,True,0.0,1.0,0.0,0.0,0.0,1.0,,,,
864119,V. Cáceres,UTC,2022-07-18T00:00:00+00:00,1087.0,Estadio Universitario de Nuevo León,San Nicolás de los Garza,2022,Apertura - 3,Tigres UANL,Club Tijuana,True,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
864120,J. Camacho,UTC,2022-07-19T00:00:00+00:00,1081.0,Estadio Hidalgo,Pachuca de Soto,2022,Apertura - 3,Pachuca,Mazatlán,,,1.0,1.0,0.0,0.0,1.0,1.0,,,,
